race_id,exotic_results
wyong-2026-02-10-r5,"{""quinella"": ""5.00"", ""exacta"": ""5.20"", ""trifecta"": ""8.50""}"
wyong-2026-02-10-r6,"{""quinella"": ""7.50"", ""exacta"": ""12.90"", ""trifecta"": ""79.00""}"
wyong-2026-02-10-r7,"{""daily double"": ""7.70"", ""quinella place 1"": ""12.10"", ""quinella"": ""19.90"", ""exacta"": ""39.40"", ""quinella place 2"": ""6.80"", ""quinella place 3"": ""26.00"", ""treble"": ""50.90"", ""trifecta"": ""333.10"", ""quaddie"": ""87.10""}"
gatton-2026-02-10-r1,"{""quinella place 1"": ""8.10"", ""quinella place 2"": ""4.90"", ""quinella"": ""1.80"", ""exacta"": ""2.20"", ""quinella place 3"": ""1.04"", ""trifecta"": ""6.30""}"
gatton-2026-02-10-r2,"{""quinella"": ""13.50"", ""exacta"": ""41.00"", ""trifecta"": ""233.90""}"
gatton-2026-02-10-r3,"{""quinella"": ""3.60"", ""exacta"": ""4.10"", ""quinella place 1"": ""1.70"", ""quinella place 2"": ""5.40"", ""quinella place 3"": ""15.30"", ""trifecta"": ""36.30""}"
gatton-2026-02-10-r4,"{""quinella"": ""9.30"", ""exacta"": ""14.60"", ""quinella place 1"": ""3.40"", ""quinella place 2"": ""34.30"", ""quinella place 3"": ""29.10"", ""trifecta"": ""241.00"", ""early quaddie"": ""114.00""}"
gatton-2026-02-10-r5,"{""quinella place 1"": ""2.30"", ""quinella place 2"": ""11.80"", ""quinella"": ""15.90"", ""exacta"": ""58.30"", ""quinella place 3"": ""13.40"", ""trifecta"": ""260.40""}"
gatton-2026-02-10-r6,"{""quinella place 1"": ""6.10"", ""quinella place 2"": ""6.00"", ""quinella"": ""16.00"", ""exacta"": ""30.80"", ""quinella place 3"": ""5.90"", ""trifecta"": ""188.20""}"
gatton-2026-02-10-r7,"{""quinella place 1"": ""2.10"", ""quinella place 2"": ""18.30"", ""quinella"": ""68.30"", ""exacta"": ""113.40"", ""quinella place 3"": ""38.90"", ""trifecta"": ""415.50""}"
gatton-2026-02-10-r8,"{""quinella place 1"": ""10.60"", ""quinella place 2"": ""11.90"", ""daily double"": ""111.10"", ""quinella"": ""67.40"", ""exacta"": ""200.80"", ""quinella place 3"": ""29.90"", ""treble"": ""683.80"", ""trifecta"": ""1865.70"", ""quaddie"": ""18131.00""}"
doomben-2026-02-11-r1,"{""quinella"": ""2.10"", ""exacta"": ""5.40"", ""trifecta"": ""46.20""}"
doomben-2026-02-11-r2,"{""quinella place 1"": ""15.90"", ""quinella place 2"": ""8.10"", ""quinella"": ""55.40"", ""exacta"": ""148.90"", ""quinella place 3"": ""13.80"", ""trifecta"": ""838.80""}"
doomben-2026-02-11-r4,"{""quinella"": ""10.90"", ""exacta"": ""18.90"", ""trifecta"": ""63.90"", ""early quaddie"": ""1757.90""}"
doomben-2026-02-11-r5,"{""quinella"": ""25.40"", ""exacta"": ""59.40"", ""trifecta"": ""145.30""}"
doomben-2026-02-11-r6,"{""quinella place 1"": ""16.70"", ""quinella place 2"": ""20.60"", ""quinella"": ""29.50"", ""exacta"": ""51.80"", ""quinella place 3"": ""10.30"", ""trifecta"": ""623.80""}"
doomben-2026-02-11-r7,"{""quinella place 1"": ""3.70"", ""quinella place 2"": ""29.00"", ""quinella"": ""66.00"", ""exacta"": ""13.60"", ""quinella place 3"": ""31.80"", ""trifecta"": ""419.80""}"
doomben-2026-02-11-r8,"{""quinella place 1"": ""4.40"", ""quinella place 2"": ""4.30"", ""quinella"": ""29.90"", ""exacta"": ""56.10"", ""quinella place 3"": ""7.70"", ""daily double"": ""92.00"", ""trifecta"": ""175.70"", ""treble"": ""204.30"", ""quaddie"": ""4630.60""}"
sale-2026-02-11-r1,"{""quinella"": ""9.00"", ""exacta"": ""12.90"", ""trifecta"": ""68.60""}"
sale-2026-02-11-r2,"{""quinella"": ""1.90"", ""exacta"": ""4.90"", ""trifecta"": ""8.60""}"
sale-2026-02-11-r3,"{""quinella place 1"": ""1.60"", ""quinella"": ""19.70"", ""exacta"": ""14.10"", ""quinella place 2"": ""12.90"", ""quinella place 3"": ""25.50"", ""trifecta"": ""121.40""}"
sale-2026-02-11-r4,"{""quinella"": ""23.40"", ""exacta"": ""37.60"", ""trifecta"": ""111.90"", ""early quaddie"": ""19.90""}"
sale-2026-02-11-r5,"{""quinella place 1"": ""3.90"", ""quinella place 2"": ""3.30"", ""quinella"": ""4.50"", ""exacta"": ""8.90"", ""quinella place 3"": ""2.00"", ""trifecta"": ""34.10""}"
sale-2026-02-11-r6,"{""quinella"": ""4.70"", ""exacta"": ""7.00"", ""quinella place 1"": ""2.00"", ""quinella place 2"": ""2.40"", ""quinella place 3"": ""2.10"", ""trifecta"": ""14.20""}"
sale-2026-02-11-r7,"{""quinella"": ""4.60"", ""exacta"": ""9.80"", ""quinella place 1"": ""1.70"", ""quinella place 2"": ""7.60"", ""quinella place 3"": ""4.80"", ""trifecta"": ""89.70""}"
sale-2026-02-11-r8,"{""quinella place 1"": ""2.60"", ""quinella place 2"": ""4.20"", ""quinella"": ""8.50"", ""exacta"": ""12.00"", ""quinella place 3"": ""3.30"", ""daily double"": ""10.30"", ""treble"": ""44.80"", ""trifecta"": ""40.00"", ""quaddie"": ""139.60""}"
gosford-2026-02-11-r2,"{""quinella"": ""1.80"", ""exacta"": ""3.30"", ""trifecta"": ""3.80""}"
gosford-2026-02-11-r3,"{""quinella place 1"": ""3.50"", ""quinella"": ""6.60"", ""exacta"": ""13.60"", ""quinella place 2"": ""2.10"", ""quinella place 3"": ""3.50"", ""trifecta"": ""51.30""}"
gosford-2026-02-11-r4,"{""quinella"": ""20.60"", ""exacta"": ""38.40"", ""quinella place 1"": ""4.60"", ""quinella place 2"": ""6.10"", ""quinella place 3"": ""8.80"", ""trifecta"": ""379.80"", ""early quaddie"": ""123.50""}"
gosford-2026-02-11-r5,"{""quinella"": ""6.00"", ""exacta"": ""13.20"", ""trifecta"": ""296.00""}"
gosford-2026-02-11-r6,"{""quinella"": ""29.30"", ""exacta"": ""52.60"", ""trifecta 1"": ""105.60"", ""trifecta 2"": ""182.60""}"
gosford-2026-02-11-r7,"{""daily double"": ""12.80"", ""quinella place 1"": ""3.20"", ""quinella"": ""9.00"", ""exacta"": ""10.00"", ""quinella place 2"": ""2.70"", ""treble"": ""87.30"", ""quinella place 3"": ""7.20"", ""trifecta"": ""30.60"", ""quaddie"": ""1027.70""}"
southside-pakenham-2026-02-12-r1,"{""quinella"": ""5.40"", ""exacta"": ""13.80"", ""trifecta"": ""33.20""}"
southside-pakenham-2026-02-12-r2,"{""quinella place 1"": ""6.90"", ""quinella place 2"": ""5.20"", ""quinella"": ""10.40"", ""exacta"": ""21.90"", ""quinella place 3"": ""3.30"", ""trifecta"": ""121.00""}"
